D_over_Dstar,core_rate,fov_rate
0.000,1.000,1.000
0.067,1.000,1.000
0.133,1.000,1.000
0.200,1.000,1.000
0.267,1.000,1.000
0.333,1.000,1.000
0.400,1.000,1.000
0.467,1.000,1.000
0.533,1.000,1.000
0.600,1.000,1.000
0.667,1.000,1.000
0.733,1.000,1.000
0.800,1.000,0.989
0.867,1.000,0.944
0.933,1.000,0.922
1.000,1.000,0.900
1.067,0.433,0.889
1.133,0.400,0.811
1.200,0.400,0.800
1.267,0.400,0.744
1.333,0.400,0.733
1.400,0.367,0.656
1.467,0.317,0.567
1.533,0.300,0.511
1.600,0.283,0.433
