theta0,w0,safe
-1.8850,-6.9115,0
-1.8221,-6.9115,1
-1.7593,-6.9115,1
-1.6965,-6.9115,1
-1.6336,-6.9115,1
-1.5708,-6.9115,1
-1.5080,-6.9115,1
-1.4451,-6.9115,1
-1.3823,-6.9115,1
-1.3195,-6.9115,1
-1.2566,-6.9115,1
-1.1938,-6.9115,1
-1.1310,-6.9115,1
-1.0681,-6.9115,1
-1.0053,-6.9115,1
-0.9425,-6.9115,1
-0.8796,-6.9115,1
-0.8168,-6.9115,1
-0.7540,-6.9115,1
-0.6912,-6.9115,1
-0.6283,-6.9115,1
-0.5655,-6.9115,1
-0.5027,-6.9115,1
-0.4398,-6.9115,1
-0.3770,-6.9115,1
-0.3142,-6.9115,1
-0.2513,-6.9115,1
-0.1885,-6.9115,1
-0.1257,-6.9115,1
-0.0628,-6.9115,1
0.0000,-6.9115,1
0.0628,-6.9115,1
0.1257,-6.9115,1
0.1885,-6.9115,1
0.2513,-6.9115,1
0.3142,-6.9115,1
0.3770,-6.9115,1
0.4398,-6.9115,1
0.5027,-6.9115,1
0.5655,-6.9115,1
0.6283,-6.9115,1
0.6912,-6.9115,1
0.7540,-6.9115,1
0.8168,-6.9115,1
0.8796,-6.9115,1
0.9425,-6.9115,1
1.0053,-6.9115,1
1.0681,-6.9115,1
1.1310,-6.9115,1
1.1938,-6.9115,1
1.2566,-6.9115,1
1.3195,-6.9115,1
1.3823,-6.9115,1
1.4451,-6.9115,1
1.5080,-6.9115,1
1.5708,-6.9115,1
1.6336,-6.9115,1
1.6965,-6.9115,0
1.7593,-6.9115,0
1.8221,-6.9115,0
1.8850,-6.9115,0
-1.8850,-6.6811,0
-1.8221,-6.6811,1
-1.7593,-6.6811,1
-1.6965,-6.6811,1
-1.6336,-6.6811,1
-1.5708,-6.6811,1
-1.5080,-6.6811,1
-1.4451,-6.6811,1
-1.3823,-6.6811,1
-1.3195,-6.6811,1
-1.2566,-6.6811,1
-1.1938,-6.6811,1
-1.1310,-6.6811,1
-1.0681,-6.6811,1
-1.0053,-6.6811,1
-0.9425,-6.6811,1
-0.8796,-6.6811,1
-0.8168,-6.6811,1
-0.7540,-6.6811,1
-0.6912,-6.6811,1
-0.6283,-6.6811,1
-0.5655,-6.6811,1
-0.5027,-6.6811,1
-0.4398,-6.6811,1
-0.3770,-6.6811,1
-0.3142,-6.6811,1
-0.2513,-6.6811,1
-0.1885,-6.6811,1
-0.1257,-6.6811,1
-0.0628,-6.6811,1
0.0000,-6.6811,1
0.0628,-6.6811,1
0.1257,-6.6811,1
0.1885,-6.6811,1
0.2513,-6.6811,1
0.3142,-6.6811,1
0.3770,-6.6811,1
0.4398,-6.6811,1
0.5027,-6.6811,1
0.5655,-6.6811,1
0.6283,-6.6811,1
0.6912,-6.6811,1
0.7540,-6.6811,1
0.8168,-6.6811,1
0.8796,-6.6811,1
0.9425,-6.6811,1
1.0053,-6.6811,1
1.0681,-6.6811,1
1.1310,-6.6811,1
1.1938,-6.6811,1
1.2566,-6.6811,1
1.3195,-6.6811,1
1.3823,-6.6811,1
1.4451,-6.6811,1
1.5080,-6.6811,1
1.5708,-6.6811,1
1.6336,-6.6811,1
1.6965,-6.6811,0
1.7593,-6.6811,0
1.8221,-6.6811,0
1.8850,-6.6811,0
-1.8850,-6.4507,0
-1.8221,-6.4507,1
-1.7593,-6.4507,1
-1.6965,-6.4507,1
-1.6336,-6.4507,1
-1.5708,-6.4507,1
-1.5080,-6.4507,1
-1.4451,-6.4507,1
-1.3823,-6.4507,1
-1.3195,-6.4507,1
-1.2566,-6.4507,1
-1.1938,-6.4507,1
