traj_id,t,theta,w
0,0.0000,0.39300,5.49069
0,0.0600,0.63487,5.43986
0,0.1200,0.81358,5.38062
0,0.1800,0.94073,5.32180
0,0.2400,1.02998,5.26663
0,0.3000,1.09244,5.21558
0,0.3600,1.13616,5.16813
0,0.4200,1.16676,5.12352
0,0.4800,1.18815,5.08105
0,0.5400,1.20300,5.04014
0,0.6000,1.21322,5.00035
0,0.6600,1.22011,4.96132
0,0.7200,1.22461,4.92282
0,0.7800,1.22739,4.88465
0,0.8400,1.22892,4.84668
0,0.9000,1.22954,4.80881
0,0.9600,1.22949,4.77097
0,1.0200,1.22895,4.73310
0,1.0800,1.22804,4.69516
0,1.1400,1.22685,4.65712
0,1.2000,1.22545,4.61897
0,1.2600,1.22389,4.58068
0,1.3200,1.22220,4.54224
0,1.3800,1.22041,4.50364
0,1.4400,1.21853,4.46487
0,1.5000,1.21658,4.42592
0,1.5600,1.21457,4.38680
0,1.6200,1.21250,4.34749
0,1.6800,1.21038,4.30799
0,1.7400,1.20821,4.26829
0,1.8000,1.20599,4.22840
0,1.8600,1.20372,4.18831
0,1.9200,1.20141,4.14802
0,1.9800,1.19905,4.10751
0,2.0400,1.19665,4.06680
0,2.1000,1.19419,4.02588
0,2.1600,1.19169,3.98473
0,2.2200,1.18915,3.94337
0,2.2800,1.18655,3.90179
0,2.3400,1.18390,3.85998
0,2.4000,1.18120,3.81794
0,2.4600,1.17844,3.77566
0,2.5200,1.17562,3.73315
0,2.5800,1.17275,3.69040
0,2.6400,1.16982,3.64741
0,2.7000,1.16683,3.60417
0,2.7600,1.16377,3.56068
0,2.8200,1.16065,3.51693
0,2.8800,1.15746,3.47293
0,2.9400,1.15420,3.42866
0,3.0000,1.15087,3.38413
0,3.0600,1.14746,3.33933
0,3.1200,1.14397,3.29425
0,3.1800,1.14041,3.24890
0,3.2400,1.13676,3.20326
0,3.3000,1.13302,3.15734
0,3.3600,1.12919,3.11113
0,3.4200,1.12527,3.06462
0,3.4800,1.12125,3.01781
0,3.5400,1.11713,2.97070
0,3.6000,1.11290,2.92328
0,3.6600,1.10857,2.87555
0,3.7200,1.10412,2.82750
0,3.7800,1.09956,2.77913
0,3.8400,1.09487,2.73043
0,3.9000,1.09005,2.68141
0,3.9600,1.08510,2.63204
0,4.0200,1.08001,2.58234
0,4.0800,1.07477,2.53230
0,4.1400,1.06939,2.48190
0,4.2000,1.06384,2.43115
0,4.2600,1.05813,2.38005
0,4.3200,1.05225,2.32858
0,4.3800,1.04618,2.27675
0,4.4400,1.03992,2.22456
0,4.5000,1.03347,2.17199
0,4.5600,1.02681,2.11904
0,4.6200,1.01993,2.06572
0,4.6800,1.01282,2.01202
0,4.7400,1.00547,1.95794
0,4.8000,0.99787,1.90348
0,4.8600,0.99001,1.84863
0,4.9200,0.98187,1.79341
0,4.9800,0.97343,1.73780
0,5.0400,0.96469,1.68181
0,5.1000,0.95563,1.62545
0,5.1600,0.94623,1.56872
0,5.2200,0.93647,1.51163
0,5.2800,0.92633,1.45418
0,5.3400,0.91579,1.39638
0,5.4000,0.90484,1.33826
0,5.4600,0.89345,1.27981
0,5.5200,0.88159,1.22107
0,5.5800,0.86924,1.16205
0,5.6400,0.85638,1.10277
0,5.7000,0.84298,1.04328
0,5.7600,0.82901,0.98359
0,5.8200,0.81444,0.92375
0,5.8800,0.79924,0.86381
0,5.9400,0.78337,0.80382
0,6.0000,0.76682,0.74383
0,6.0600,0.74954,0.68392
0,6.1200,0.73151,0.62416
0,6.1800,0.71269,0.56464
0,6.2400,0.69305,0.50545
0,6.3000,0.67257,0.44669
0,6.3600,0.65122,0.38850
0,6.4200,0.62898,0.33100
0,6.4800,0.60582,0.27434
0,6.5400,0.58176,0.21866
